Success (269):
datatype 4556 {urn:com:mms:appian:types:MMS}MMS_MeetingDetails "{urn:com:mms:appian:types:MMS}MMS_MeetingDetails"
content 44605 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47854 "MMS_INST_START_TIME_REQ"
content 44541 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47783 "MMS_INST_DURATION"
content 44607 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47856 "MMS_INST_DURATION_REQ"
content 45363 _a-0000dcd9-a1ca-8000-9ba2-011c48011c48_35624 "MMS_SectionMeetingDetails"
content 44153 _a-0000dcd9-a1ca-8000-9ba2-011c48011c48_35626 "MMS_LBL_DURATION"
content 44611 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47860 "MMS_INST_REVIEW_REMINDER"
content 44242 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47406 "MMS_LBL_REVIEW_REMINDER"
content 44243 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47407 "MMS_INST_UNIQUE_REMINDERS"
content 44244 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47408 "MMS_LBL_REMINDERS"
content 44245 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47409 "MMS_LBL_ADD_REMINDER"
content 32887 _a-0000dcd9-a1ca-8000-9ba2-011c48011c48_35632 "MMS_LBL_REMINDER_TIME"
content 32888 _a-0000dcd9-a1ca-8000-9ba2-011c48011c48_35633 "MMS_LBL_DELETE"
content 44612 _a-0000dcd9-a1ca-8000-9ba2-011c48011c48_35630 "MMS_SectionForAddReminders"
content 44234 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47398 "MMS_LBL_REMOVE"
content 44235 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47399 "MMS_INST_REMINDER_BEFORE_ST"
content 44236 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47400 "MMS_INST_REMINDERS_IN_FUTURE"
content 44508 _a-0000dcd9-a1ca-8000-9ba2-011c48011c48_35631 "MMS_RemindersGridRowLayout"
content 44225 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47389 "MMS_LBL_SCHEDULE_NEW_MEETING"
content 45307 _a-0000dce8-1d82-8000-9ba2-011c48011c48_48832 "MMS_INST_B_MEETING_CANCEL"
content 44223 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47387 "MMS_INST_SCHEDULE_MEETING"
content 45308 _a-0000dcd9-a1ca-8000-9ba2-011c48011c48_35641 "MMS_FormMeetingDetails"
content 32872 9cddd5ad-1f98-4621-a601-384684a2676f "MM_FormCancelMeeting"
content 32952 _a-0000dcd9-a1ca-8000-9ba2-011c48011c48_35697 "MMS_GRP_SYSTEM_ADMIN"
content 32955 _a-0000dcd9-a1ca-8000-9ba2-011c48011c48_35698 "MMS_GetAppianFeedIdBasedOnMeetingId"
content 32937 _a-0000dcd9-a1ca-8000-9ba2-011c48011c48_35682 "MMS Dashboard Interfaces"
content 44160 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47324 "MMS_LBL_SAVE_SUMMARY"
content 44161 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47325 "MMS_LBL_AVERAGE_MEETING"
content 44629 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47879 "MMS_INST_SUMMARY"
content 44217 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47381 "MMS_INST_MEETING_SUMMARY"
content 44218 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47382 "MMS_LBL_PROVIDE_MEETING_SUMMARY"
content 44155 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47319 "MMS_LBL_MEETING_SUMMARY"
content 45352 1d57d9ff-6bfc-4dbd-bab8-ed7d8393aceb "MMS_FormMeetingSummary"
content 44626 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47876 "MMS_INST_FEEDBACK"
content 44627 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47877 "MMS_INST_RATING"
content 44154 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47318 "MMS_LBL_RATING"
content 44220 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47384 "MMS_INST_MEETING_FEEDBACK"
content 44221 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47385 "MMS_LBL_PROVIDE_MEETING_FEEDBACK"
content 44157 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47321 "MMS_LBL_FEEDBACK"
content 44158 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47322 "MMS_LBL_SAVE_FEEDBACK"
content 45351 940c797f-e79b-4349-840f-7736f55e56be "MMS_FomMeetingFeedback"
content 45088 _a-0000dce8-1d82-8000-9ba2-011c48011c48_48498 "MMS_LBL_CHECK_IN_USERS"
content 45089 _a-0000dce8-1d82-8000-9ba2-011c48011c48_48499 "MMS_LBL_INVITED_ATTENDEES"
content 44486 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47705 "MMS_LBL_MMS_AB"
content 44487 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47706 "MMS_LBL_MEETING_ID"
content 39833 _a-0000dce6-2b45-8000-9ba2-011c48011c48_42671 "MMS_LBL_ORGANIZER"
content 44475 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47694 "MMS_LBL_MINUTES"
content 45090 07e2806e-d51a-4bf4-b8d4-f6f2b1b8c97c "MMS_SectionMeetingDetailsReadOnly"
content 44208 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47372 "MMS_LBL_AVERAGE_RATING"
content 45093 f77a05cc-ad45-4027-a9d1-55e789b91d6a "MMS_DashboardMeetingDetails"
content 32962 ea6563e8-6c07-4d9b-89c5-2d1fb84c5fbc "MM_GetMeetingAverageRating"
content 32958 _a-0000dcd9-a1ca-8000-9ba2-011c48011c48_35703 "MMS_GRP_EXECUTIVES"
content 32959 _a-0000dcd9-a1ca-8000-9ba2-011c48011c48_35704 "MMS_GRP_ADMINSTRATORS"
content 44238 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47402 "MMS_LBL_ADDED_BY"
content 44239 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47403 "MMS_LBL_ADDED_ON"
content 44241 _a-0000dcd9-a1ca-8000-9ba2-011c48011c48_35706 "MMS_DashboardNotesDetails"
content 45101 _a-0000dcd9-a1ca-8000-9ba2-011c48011c48_35708 "MMS_StandardDateTimeFormat"
content 32966 _a-0000dcd9-a1ca-8000-9ba2-011c48011c48_35710 "MMS_GetUserDisplayName"
content 32971 _a-0000dcd9-a1ca-8000-9ba2-011c48011c48_35714 "MMS_GetIconBasedOnStatus"
content 32973 _a-0000dcd9-a1ca-8000-9ba2-011c48011c48_35718 "MMS Query Entities"
content 32978 _a-0000dcd9-a1ca-8000-9ba2-011c48011c48_35719 "MM_GetMeetingAttendeesBasedOnId"
content 44210 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47374 "MMS_LBL_ATTENDEE_NAME"
content 44211 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47375 "MMS_LBL_CHECK_IN_TIME"
content 44212 _a-0000dce8-1d82-8000-9ba2-011c48011c48_47376 "MMS_LBL_CHECK_IN_STATUS"
content 44500 e6be2a9a-e52c-49f5-a93f-d9d25120879b "MMS_DashboardAttendeeDetails"
content 45100 90af0420-5ca8-4f12-aa4c-3fda7c769924 "MMS_DashboardFeedbackDetails"
content 32980 319d19a3-62e0-433d-ab79-b2ee3d35fd60 "MMS_CheckActionVisibilityToUsers"
content 44949 _a-0000dcd9-a1ca-8000-9ba2-011c48011c48_35730 "MMS_GetMeetingIdsBasedOnUser"
content 32990 _a-0000dcd9-a1ca-8000-9ba2-011c48011c48_35735 "MMS_LBL_ATTENDEE_DETAILS"
